03-05, Pit, Southern Kitchen, Seasoned Scrambled Eggs, Breakfast (7am-11am)
03-05, North Pit, Creation Station, Pickled Red Onion, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Baby Arugula, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Feta Cheese, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Sliced Black Olives, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Fresh Cilantro, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Diced Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Creation Station, Roasted Red Peppers, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Grilled Chicken Club, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Signature Burger, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Crinkle Cut Fries, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Beyond Burger Patty, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Gardenburger Black Bean Patty, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, American Cheese, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Leaf Lettuce, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Sliced Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Black & Gold Grill, Sliced Red Onions, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Fresh Cracked Scrambled Egg, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Shredded Cheddar Cheese, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Crumbled Chorizo Sausage, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Mushrooms, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Diced Red Onions, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Diced Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Diced Mixed Bell Peppers, Lunch (11am-2pm)
03-05, North Pit, Build Your Own Omelet, Baby Spinach, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Roast Beef & Cheddar Wrap, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, French Dip Sandwich, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Cajun Pasta Salad, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Sliced Turkey Breast, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Cherrywood Ham, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Cheddar Cheese, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Sliced Provolone Cheese, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Leaf Lettuce, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Sliced Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Sliced Red Onions, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Dill Pickle Slices, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Charcuterie Cup, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Hummus, Lunch (11am-2pm)
03-05, North Pit, Marketplace Deli, Baked Pita Chips, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Honey, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Granola, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Pineapple, Lunch (11am-2pm)
03-05, North Pit, Chobani Yogurt And Fruit, Summer Fruit Salad, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Romaine Lettuce, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Field Greens, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Baby Spinach, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Farro, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Diced Chicken, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Flaked Salmon, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Za'atar Tofu, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Bacon Pieces, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Black Beans, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Cottage Cheese, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Blue Cheese Crumbles, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Shredded Parmesan Cheese, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Fresh Mozzarella, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Shredded Cheddar Cheese, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Chopped Hard-Cooked Egg, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Roasted Butternut Squash, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Roasted Green Beans, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Shredded Carrots, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Green Peas, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Sweet Corn, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Diced Red Onions, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Diced Beets, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Grape Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Sliced Cucumber, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Red Cabbage, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Mushrooms, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Diced Mixed Bell Peppers, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Pickled Jalapenos, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Hearts of Palm, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Artichoke Hearts, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Bean Sprouts, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Sundried Tomatoes, Lunch (11am-2pm)
03-05, North Pit, Produce Market, Sliced Radish, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Ranch Dressing, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Balsamic Vinaigrette, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Caesar Dressing, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Honey Mustard Dressing, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Blue Cheese Dressing, Lunch (11am-2pm)
03-05, North Pit, Produce Market / Dressings, Greek Goddess Dressing, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Berry Patch, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Peach, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Brewed Coffee, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, 2% Milk, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Chocolate Milk, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Lucky Charms Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Apple Jacks Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Cinnamon Toast Crunch Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Froot Loops Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Cheerios Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Rice Chex Cereal, Lunch (11am-2pm)
03-05, North Pit, Self Serve Options, Raisin Bran Cereal, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Plain Bagel, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Whole Wheat Bagel, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Cinnamon Raisin Bagel, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Everything Bagel, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, White Bread Slice, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Wheat Bread Slice, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Multigrain Bread Slice, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Flour Tortilla, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Udi's Soft White Sandwich Bread, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Avocado, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Cream Cheese, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Butter, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Orange Marmalade, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Grape Jelly, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Strawberry Preserves, Lunch (11am-2pm)
03-05, North Pit, Breads & Spreads, Creamy Peanut Butter, Lunch (11am-2pm)
03-05, North Pit, Soup, Bean & Bacon Soup, Lunch (11am-2pm)
03-05, North Pit, Soup, Moroccan Chickpea Soup, Lunch (11am-2pm)
03-05, North Pit, Southern Kitchen, Peruvian Chicken, Dinner (4:30pm-9pm)
03-05, North Pit, Southern Kitchen, Cider Lemon Green Beans, Dinner (4:30pm-9pm)
03-05, North Pit, Southern Kitchen, Roasted Honey & Sage Sweet Potatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Southern Kitchen, Vegan Mushroom Pasta with Roasted Sunchokes, Dinner (4:30pm-9pm)
03-05, North Pit, Southern Kitchen, Chicken Fajitas Tacos, Dinner (4:30pm-9pm)
03-05, North Pit, Southern Kitchen, Parmesan Roasted Asparagus, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Grilled Pita, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Shawarma Spiced Flank Steak, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Baba Ghanoush, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Tabbouleh Salad, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Hummus, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Broccoli Slaw, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Tzatziki Sauce, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Pickled Red Onion, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Baby Arugula, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Feta Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Sliced Black Olives, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Fresh Cilantro, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Diced Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Creation Station, Roasted Red Peppers, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Grilled Chicken Club, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Signature Burger, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Crinkle Cut Fries, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Beyond Burger Patty, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Gardenburger Black Bean Patty, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, American Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Leaf Lettuce, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Black & Gold Grill, Sliced Red Onions, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Fresh Cracked Scrambled Egg, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Crumbled Chorizo Sausage, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Mushrooms, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Diced Red Onions, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Diced Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-05, North Pit, Build Your Own Omelet, Baby Spinach, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Roast Beef & Cheddar Wrap, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, French Dip Sandwich, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Cajun Pasta Salad, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Sliced Turkey Breast, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Cherrywood Ham, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Sliced Provolone Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Leaf Lettuce, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Sliced Red Onions, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Dill Pickle Slices, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Charcuterie Cup, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Hummus, Dinner (4:30pm-9pm)
03-05, North Pit, Marketplace Deli, Baked Pita Chips, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Honey, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Granola, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Pineapple, Dinner (4:30pm-9pm)
03-05, North Pit, Chobani Yogurt And Fruit, Summer Fruit Salad, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Romaine Lettuce, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Field Greens, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Baby Spinach, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Farro, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Diced Chicken, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Flaked Salmon, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Za'atar Tofu, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Bacon Pieces, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Black Beans, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Cottage Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Blue Cheese Crumbles, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Shredded Parmesan Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Fresh Mozzarella, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Chopped Hard-Cooked Egg, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Roasted Butternut Squash, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Roasted Green Beans, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Shredded Carrots, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Green Peas, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Sweet Corn, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Diced Red Onions, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Diced Beets, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Grape Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Sliced Cucumber, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Red Cabbage, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Mushrooms, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Pickled Jalapenos, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Hearts of Palm, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Artichoke Hearts, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Bean Sprouts, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Sundried Tomatoes, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market, Sliced Radish, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Ranch Dressing, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Balsamic Vinaigrette, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Caesar Dressing, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Honey Mustard Dressing, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Blue Cheese Dressing, Dinner (4:30pm-9pm)
03-05, North Pit, Produce Market / Dressings, Greek Goddess Dressing, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Berry Patch, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Peach, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Brewed Coffee, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, 2% Milk, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Chocolate Milk, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Lucky Charms Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Apple Jacks Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Cinnamon Toast Crunch Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Froot Loops Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Cheerios Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Rice Chex Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Self Serve Options, Raisin Bran Cereal, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Plain Bagel, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Whole Wheat Bagel, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Cinnamon Raisin Bagel, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Everything Bagel, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, White Bread Slice, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Wheat Bread Slice, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Multigrain Bread Slice, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Flour Tortilla, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Udi's Soft White Sandwich Bread, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Avocado, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Cream Cheese, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Butter, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Orange Marmalade, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Grape Jelly, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Strawberry Preserves, Dinner (4:30pm-9pm)
03-05, North Pit, Breads & Spreads, Creamy Peanut Butter, Dinner (4:30pm-9pm)
03-05, North Pit, Soup, Bean & Bacon Soup, Dinner (4:30pm-9pm)
03-05, North Pit, Soup, Moroccan Chickpea Soup, Dinner (4:30pm-9pm)
03-08, Pit, Southern Kitchen, Seasoned Scrambled Eggs, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Diced Fried Potatoes, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Applewood Bacon, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Turkey Sausage Link, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Buttermilk Biscuit, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Sausage Gravy, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Hard-Boiled Eggs, Breakfast (7am-11am)
03-08, Pit, Southern Kitchen, Assorted Scones, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Fresh Cracked Scrambled Egg, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Roasted Red Potatoes, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Shredded Pepper Jack Cheese, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Fresh Cilantro, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Diced Red Onions, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Diced Mixed Bell Peppers, Breakfast (7am-11am)
03-08, Pit, Vegetarian Frittatas 8-10am, Mushrooms, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Tater Tots, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, American Cheese, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Sliced Swiss Cheese, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Sliced Pepperjack Cheese, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Leaf Lettuce, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Sliced Tomatoes, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Ranch Dressing, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, BBQ Sauce, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Honey Mustard Dressing, Breakfast (7am-11am)
03-08, Pit, Black & Gold Grill, Chipotle Mayonnaise, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Fresh Cracked Scrambled Egg, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Cage Free Egg Whites, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Crumbled Sausage, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Crumbled Chorizo Sausage, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Diced Ham, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Real Bacon Pieces, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Shredded Cheddar Cheese, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Steamed Diced Red Potatoes, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Feta Cheese, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Broccoli Florets, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Baby Spinach, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Mushrooms, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Diced Mixed Bell Peppers, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Fire-Roasted Salsa, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Diced Tomatoes, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Pico de Gallo, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Diced Yellow Onion, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Sliced Black Olives, Breakfast (7am-11am)
03-08, Pit, Create Your Own Omelette, Jalapeno Peppers, Breakfast (7am-11am)
03-08, Pit, Freshly Made Hot Bowl Of..., Homestyle Grits, Breakfast (7am-11am)
03-08, Pit, Freshly Made Hot Bowl Of..., Old Fashioned Oatmeal, Breakfast (7am-11am)
03-08, Pit, Select Breads, Blueberry Breakfast Bread, Breakfast (7am-11am)
03-08, Pit, Select Breads, Chocolate Chip Breakfast Loaf, Breakfast (7am-11am)
03-08, Pit, Select Breads, Double Dutch Breakfast Loaf, Breakfast (7am-11am)
03-08, Pit, Select Breads, Lemon-Poppyseed Bread, Breakfast (7am-11am)
03-08, Pit, Select Breads, Orange-Cranberry Breakfast Loaf, Breakfast (7am-11am)
03-08, Pit, Select Breads, Cappuccino Chocolate Chunk Muffin, Breakfast (7am-11am)
03-08, Pit, Select Breads, Apple Cinnamon Muffin, Breakfast (7am-11am)
03-08, Pit, Select Breads, Lemon-Poppyseed Muffin, Breakfast (7am-11am)
03-08, Pit, Select Breads, Blueberry Muffin, Breakfast (7am-11am)
03-08, Pit, Select Breads, White Bread Slice, Breakfast (7am-11am)
03-08, Pit, Select Breads, Wheat Bread Slice, Breakfast (7am-11am)
03-08, Pit, Select Breads, Multigrain Bread Slice, Breakfast (7am-11am)
03-08, Pit, Select Breads, Rye Bread Slice, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Plain Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Whole Wheat Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Blueberry Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Cinnamon Raisin Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Sesame Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Everything Bagel, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Orange Marmalade, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Strawberry Preserves, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Sun Butter, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Whipped Cream Cheese, Breakfast (7am-11am)
03-08, Pit, Bagel Station, Whipped Butter, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Overnight Chia Oats, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Blueberries, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Raspberries, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Strawberries, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Pineapple, Breakfast (7am-11am)
03-08, Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Breakfast (7am-11am)
